结算时间,订单号,子订单号,结算金额,结算账户,结算单类型,有结算前退款,下单时间,商品ID,商品数量,业务类型,订单类型,订单总价,商品总价,运费,店铺劵,结算前退款金额,平台补贴,达人补贴,抖音支付补贴,抖音月付营销补贴,用户实付,收入合计,平台服务费,佣金,渠道分成,招商服务费,直播间站外推广,其他分成,其他分成说明,支出合计,备注
 , , ,收入+支出, , , , , , , , ,商品总价+运费, , , ,退给用户的货款+运费+退补贴, , , , , ,用户实付+平台补贴+达人补贴+抖音支付补贴+抖音月付补贴,'-(用户实付+平台补贴+达人补贴)*费率,'-(用户实付-运费+平台补贴+达人补贴+抖音支付补贴+抖音月付补贴)*费率, , , ,除“佣金、渠道分成、招商服务费、直播间站外推广”等账单中已分列展示之外的分成项目, ,平台服务费+达人佣金+渠道分成+招商服务费+直播站外推广+其他分成, 
2022-10-04 15:00:44,'4980710768141814853,'4980710768141814853,132.05,聚合账户,已结算,否,2022-09-21 18:51:06,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:00:44,'4980706125286333615,'4980706125286333615,132.05,聚合账户,已结算,否,2022-09-21 18:33:49,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:00:43,'4980699815975681330,'4980699815975681330,132.05,聚合账户,已结算,否,2022-09-21 18:11:55,'3569541324543778578,1,鲁班广告,普通订单,139,139,0,0,0,0.48,0,0,0,138.52,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:00:43,'4980346645127628287,'4980346645127628287,132.05,聚合账户,已结算,否,2022-09-20 19:20:07,'3569541324543778578,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:00:42,'4980335276336586455,'4980335276336586455,132.05,聚合账户,已结算,否,2022-09-20 18:36:57,'3569541324543778578,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:00:41,'4980340584923520946,'4980340584923520946,132.05,聚合账户,已结算,否,2022-09-20 18:57:23,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0.58,138.42,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:00:40,'4980333429571667803,'4980333429571667803,132.05,聚合账户,已结算,否,2022-09-20 18:22:35,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0.05,138.95,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:00:40,'4980333622782379838,'4980333622782379838,132.05,聚合账户,已结算,否,2022-09-20 18:30:40,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:04:04,'4979959943437265949,'4979959943437265949,132.05,聚合账户,已结算,否,2022-09-19 18:20:37,'3569541324543778578,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:04:03,'4979959883321368522,'4979959883321368522,132.05,聚合账户,已结算,否,2022-09-19 18:20:10,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0.05,138.95,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:03:48,'4980709818966688922,'4980709818966688922,132.05,聚合账户,已结算,否,2022-09-21 18:48:16,'3566019747638342501,1,小店自卖,普通订单,139,139,0,0,0,0.22,0,0,0,138.78,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:03:45,'4979974043819501097,'4979974043819501097,132.05,聚合账户,已结算,否,2022-09-19 19:11:15,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:03:42,'4979974584983487796,'4979974584983487796,132.05,聚合账户,已结算,否,2022-09-19 19:13:22,'3569541324543778578,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:03:41,'4979961691489087393,'4979961691489087393,132.05,聚合账户,已结算,否,2022-09-19 18:25:43,'3569541324543778578,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:03:39,'4979972712376938066,'4979972712376938066,132.05,聚合账户,已结算,否,2022-09-19 19:08:18,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0.02,0,138.98,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:03:37,'4979958277003631980,'4979958277003631980,132.05,聚合账户,已结算,否,2022-09-19 18:13:37,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:03:34,'4979970826883442291,'4979970826883442291,132.05,聚合账户,已结算,否,2022-09-19 19:02:01,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0.05,0,138.95,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 18:18:37,'4973284653725185706,'4973284653725185706,132.05,聚合账户,已结算,否,2022-09-01 18:37:27,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 19:15:25,'4981077992147068669,'4981077992147068669,113.05,聚合账户,已结算,否,2022-09-22 18:37:43,'3568615580909081638,1,小店自卖,普通订单,139,139,0,20,0,0,0,0,0,119,119,-5.95,0,0,0,0,0,,-5.95,
