订单号,子订单号,下单时间,订单收入(元),订单支出(元),订单净收益(元),结算状态,结算时间,业务类型,结算账户,订单类型,商品id,商品数量,订单总价(元),运费实付(元),商品总价(元),店铺券(元),订单实付(元),订单实付应结(元),平台补贴_运费(元),平台补贴(元),达人补贴(元),抖音支付补贴(元),抖音月付营销补贴(元),实际平台补贴_运费(元),实际平台补贴(元),实际达人补贴(元),实际抖音支付补贴(元),实际抖音月付营销补贴(元),实际补贴金额(元),订单退款(元),结算前退款(元),平台服务费(元),佣金(元),渠道分成(元),招商服务费(元),直播间站外推广(元),其他分成,退款扣佣金(元),备注
'4973304857250401983,'4973304857250401983,2022/9/1 19:53,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973304453526040407,'4973304453526040407,2022/9/1 19:52,6.95,139,-132.05,已退款(原账户),2022/9/17 18:33,小店自卖,聚合账户,普通订单,'3568637652754402212,1,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,-0.1,0,-0.1,-138.9,0,6.95,0,0,0,0,0,0,
'4973304453526040407,'4973304453526040407,2022/9/1 19:52,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.9,138.9,0,0,0,0.1,0,0,0,0,0.1,0,0.1,0,0,-6.95,0,0,0,0,0,0,
'4973304105634833557,'4973304105634833557,2022/9/1 19:51,139,6.95,132.05,已结算,2022/9/12 4:30,小店自卖,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973303268115686479,'4973303268115686479,2022/9/1 19:48,139,6.95,132.05,已结算,2022/9/14 18:41,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973303027597714475,'4973303027597714475,2022/9/1 19:46,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.95,138.95,0,0,0,0.05,0,0,0,0,0.05,0,0.05,0,0,-6.95,0,0,0,0,0,0,
'4973302001111934701,'4973302001111934701,2022/9/1 19:43,139,6.95,132.05,已结算,2022/9/11 22:10,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4973302065524818992,'4973302065524818992,2022/9/1 19:43,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973300411957978901,'4973300411957978901,2022/9/1 19:37,139,6.95,132.05,已结算,2022/9/14 18:41,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973299699003491867,'4973299699003491867,2022/9/1 19:34,139,6.95,132.05,已结算,2022/9/13 21:27,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973299153543775320,'4973299153543775320,2022/9/1 19:33,139,6.95,132.05,已结算,2022/9/14 18:41,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973298410514513781,'4973298410514513781,2022/9/1 19:30,139,6.95,132.05,已结算,2022/9/12 21:05,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973298191473100470,'4973298191473100470,2022/9/1 19:28,139,6.95,132.05,已结算,2022/9/14 18:41,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973297942350945539,'4973297942350945539,2022/9/1 19:28,169,8.45,160.55,已结算,2022/9/15 18:48,精选联盟,聚合账户,普通订单,'3565638794885595215,1,169,0,169,0,168.99,168.99,0,0,0,0.01,0,0,0,0,0.01,0,0.01,0,0,-8.45,0,0,0,0,0,0,
'4973297942350945539,'4973297942351076611,2022/9/1 19:28,139,6.95,132.05,已结算,2022/9/15 18:48,小店自卖,聚合账户,普通订单,'3569008596186456509,1,139,0,139,0,138.99,138.99,0,0,0,0.01,0,0,0,0,0.01,0,0.01,0,0,-6.95,0,0,0,0,0,0,
'4973297719023515123,'4973297719023515123,2022/9/1 19:27,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973297139209920024,'4973297139209920024,2022/9/1 19:25,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973297143499396699,'4973297143499396699,2022/9/1 19:25,69,3.45,65.55,已结算,2022/9/13 4:28,鲁班广告,微信,普通订单,'3568431661827946174,1,69,0,69,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45,0,0,0,0,0,0,
'4973296993180673434,'4973296993180673434,2022/9/1 19:24,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973296267315563886,'4973296267315563886,2022/9/1 19:22,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.2,138.2,0,0,0,0,0.8,0,0,0,0,0.8,0.8,0,0,-6.95,0,0,0,0,0,0,
'4973295833528175620,'4973295833528175620,2022/9/1 19:21,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.96,138.96,0,0,0,0,0.04,0,0,0,0,0.04,0.04,0,0,-6.95,0,0,0,0,0,0,
'4973295635966510846,'4973295635966510846,2022/9/1 19:20,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.92,138.92,0,0,0,0.08,0,0,0,0,0.08,0,0.08,0,0,-6.95,0,0,0,0,0,0,
'4973296172835353798,'4973296172835353798,2022/9/1 19:20,139,6.95,132.05,已结算,2022/9/14 18:41,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.5,138.5,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,-6.95,0,0,0,0,0,0,
'4973295008893300595,'4973295008893300595,2022/9/1 19:16,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4973294347467711550,'4973294347467711550,2022/9/1 19:16,139,6.95,132.05,已结算,2022/9/14 4:36,小店自卖,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973294334586115808,'4973294334586115808,2022/9/1 19:15,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.5,138.5,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,-6.95,0,0,0,0,0,0,
'4973293896491812027,'4973293896491812027,2022/9/1 19:14,6.95,139,-132.05,已退款(原账户),2022/9/21 15:19,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,-0.04,-0.04,-138.96,0,6.95,0,0,0,0,0,0,
